episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8290655342589337,True,fixed_low,20,0.03,0.025082554536399747,False
1,1.0173369526230824,True,fixed_low,20,0.03,0.0027895359224319296,False
2,1.042835479287549,True,fixed_low,20,0.03,0.0003102359710310143,False
3,1.0432127441063752,True,fixed_low,20,0.03,3.450264144211346e-05,False
4,1.0437929568758284,True,fixed_low,20,0.03,3.837183233540431e-06,False
5,1.0449088020859165,True,fixed_low,20,0.03,4.2674921548746523e-07,False
6,1.0445823066724218,True,fixed_low,20,0.03,4.74605672540207e-08,False
7,1.0439821820672432,True,fixed_low,20,0.03,5.278288428556266e-09,False
8,1.0433970402382493,True,fixed_low,20,0.03,5.870205543878626e-10,False
9,1.0454824083732541,True,fixed_low,20,0.03,6.528501073077564e-11,False
10,1.0470242827287957,True,fixed_low,20,0.03,7.260625434213353e-12,False
11,1.1067539474771464,True,fixed_mid,20,0.05,2.370936780238253e-13,False
12,1.1054354314555161,True,fixed_mid,20,0.05,2.3397950243975174e-14,False
13,1.1081118415066444,True,fixed_mid,20,0.05,2.3092638912203257e-15,False
14,1.108860825497228,True,fixed_mid,20,0.05,2.2759572004815707e-16,False
15,1.107552740597511,True,fixed_mid,20,0.05,0.0,False
16,1.1097123896391226,True,fixed_mid,20,0.05,0.0,False
17,1.1094681047635544,True,fixed_mid,20,0.05,0.0,False
18,1.1055766363475803,True,fixed_mid,20,0.05,0.0,False
19,1.103430061816033,True,fixed_mid,20,0.05,0.0,False
20,1.1073385950516283,True,fixed_mid,20,0.05,0.0,False
21,1.1070400027481992,True,fixed_mid,20,0.05,0.0,False
22,1.1024767880859385,True,fixed_mid,20,0.05,0.0,False
23,1.1059259476671146,True,fixed_mid,20,0.05,0.0,False
24,1.10763801559551,True,fixed_mid,20,0.05,0.0,False
25,1.1042792303477804,True,fixed_mid,20,0.05,0.0,False
26,1.1054654817184248,True,fixed_mid,20,0.05,0.0,False
27,1.1059379048603257,True,fixed_mid,20,0.05,0.0,False
28,1.1056702521508948,True,fixed_mid,20,0.05,0.0,False
29,1.1093033961166097,True,fixed_mid,20,0.05,0.0,False
30,1.1053380553315197,True,fixed_mid,20,0.05,0.0,False
31,1.1089731762770711,True,fixed_mid,20,0.05,0.0,False
32,1.1065500806037882,True,fixed_mid,20,0.05,0.0,False
33,1.1081126043462146,True,fixed_mid,20,0.05,0.0,False
34,1.1042062793506207,True,fixed_mid,20,0.05,0.0,False
35,1.1064601312430955,True,fixed_mid,20,0.05,0.0,False
36,1.1054604993015102,True,fixed_mid,20,0.05,0.0,False
37,1.104069957352023,True,fixed_mid,20,0.05,0.0,False
38,1.1099357272362593,True,fixed_mid,20,0.05,0.0,False
39,1.1041556865190372,True,fixed_mid,20,0.05,0.0,False
40,0.8736721231309463,True,fixed_mid,20,0.05,-0.008904451587432066,False
41,0.7893452142181525,True,fixed_mid,20,0.05,-0.0015854431499316036,False
42,0.772613643875739,True,fixed_mid,20,0.05,-0.00028228914009851836,False
43,0.7728818137084311,True,fixed_mid,20,0.05,-5.026175717559589e-05,False
44,0.7695018197726116,True,fixed_mid,20,0.05,-8.949137163033471e-06,False
45,0.7696309862378187,True,fixed_mid,20,0.05,-1.5933994444938816e-06,False
46,0.7753433928987224,True,fixed_mid,20,0.05,-2.83705763298725e-07,False
47,0.7747252333148511,True,fixed_mid,20,0.05,-5.051398782596195e-08,False
48,0.77381042307129,True,fixed_mid,20,0.05,-8.994046973853642e-09,False
49,0.7722616452806467,True,fixed_mid,20,0.05,-1.601395666073202e-09,False
50,0.7734727152364165,True,fixed_mid,20,0.05,-2.8512950334125264e-10,False
51,1.0298270898333697,True,fixed_high,20,0.07,5.579481321404956e-13,False
52,1.022487224854574,True,fixed_high,20,0.07,6.20503648463e-14,False
53,1.0270836841913,True,fixed_high,20,0.07,6.905587213168474e-15,False
54,1.0269593919411544,True,fixed_high,20,0.07,7.660538869913581e-16,False
55,1.0260038710216677,True,fixed_high,20,0.07,7.771561172376095e-17,False
56,1.030561001930705,True,fixed_high,20,0.07,0.0,False
57,1.0263905037727856,True,fixed_high,20,0.07,0.0,False
58,1.0259231896553695,True,fixed_high,20,0.07,0.0,False
59,1.0268613677134795,True,fixed_high,20,0.07,0.0,False
60,1.0259766874929546,True,fixed_high,20,0.07,0.0,False
61,1.024534127836732,True,fixed_high,20,0.07,0.0,False
62,1.0217704239622822,True,fixed_high,20,0.07,0.0,False
63,1.0239622558545702,True,fixed_high,20,0.07,0.0,False
64,1.0234154186841666,True,fixed_high,20,0.07,0.0,False
65,1.0234482010347832,True,fixed_high,20,0.07,0.0,False
66,1.0288189747675704,True,fixed_high,20,0.07,0.0,False
67,1.0235721282660322,True,fixed_high,20,0.07,0.0,False
68,1.0296060595349545,True,fixed_high,20,0.07,0.0,False
69,1.0253953406724396,True,fixed_high,20,0.07,0.0,False
70,1.0298848266472984,True,fixed_high,20,0.07,0.0,False
71,1.0236656330956984,True,fixed_high,20,0.07,0.0,False
72,1.0266967946489354,True,fixed_high,20,0.07,0.0,False
73,1.023938837538155,True,fixed_high,20,0.07,0.0,False
74,1.0258998351812203,True,fixed_high,20,0.07,0.0,False
75,1.0222840760768341,True,fixed_high,20,0.07,0.0,False
76,1.0265412100194944,True,fixed_high,20,0.07,0.0,False
77,1.023541932187213,True,fixed_high,20,0.07,0.0,False
78,1.0256943067460942,True,fixed_high,20,0.07,0.0,False
79,1.0276385595561492,True,fixed_high,20,0.07,0.0,False
