sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,river_logreg,river_nb,switch,True,fixed_share_warmup_leader,,0.01,Switch after warmup because the cumulative reward leader differs from the starting strategy: river_nb.
127,0,river_nb,river_hoeffding_tree,stay,False,fixed_share_margin_too_small,0.0025889639210244786,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0026, threshold=0.0100."
255,1,river_nb,windowed_rf,switch,True,fixed_share_weight_advantage,0.30453585582611037,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4033 - 0.0988 = 0.3045 >= 0.0100.
383,2,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
511,3,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
639,4,windowed_rf,river_logreg,switch,True,fixed_share_weight_advantage,0.015946397361882497,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2421 - 0.2261 = 0.0159 >= 0.0100.
767,5,river_logreg,windowed_rf,switch,True,fixed_share_weight_advantage,0.22398206443187002,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3468 - 0.1228 = 0.2240 >= 0.0100.
895,6,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1023,7,windowed_rf,river_logreg,switch,True,fixed_share_weight_advantage,0.36191559140937235,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4779 - 0.1160 = 0.3619 >= 0.0100.
1151,8,river_logreg,river_logreg,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1279,9,river_logreg,windowed_histgb,switch,True,fixed_share_weight_advantage,0.07114341697863924,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3004 - 0.2293 = 0.0711 >= 0.0100.
1407,10,windowed_histgb,windowed_rf,switch,True,fixed_share_weight_advantage,0.03376686669706311,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2586 - 0.2248 = 0.0338 >= 0.0100.
1535,11,windowed_rf,windowed_histgb,switch,True,fixed_share_weight_advantage,0.09028021289694826,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3284 - 0.2381 = 0.0903 >= 0.0100.
1663,12,windowed_histgb,river_logreg,switch,True,fixed_share_weight_advantage,0.028263475954752815,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2267 - 0.1984 = 0.0283 >= 0.0100.
