sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,1,knn_regressor,knn_regressor,stay,False,recent_leader_warmup_same,0.0,0.001,Stay after warmup because the current strategy is already the recent leader.
191,2,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
255,3,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
319,4,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
383,5,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.023196631941623358,0.001,Stay because the candidate fails the incumbent floor check: 0.817145 + 0.001000 < 0.831368.
447,6,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.019004950677206534,0.001,Stay because the candidate fails the incumbent floor check: 0.798473 + 0.001000 < 0.813332.
511,7,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
575,8,knn_regressor,lin_lr_0_005,stay,False,recent_leader_incumbent_floor,0.02263799655016374,0.001,Stay because the candidate fails the incumbent floor check: 0.802947 + 0.001000 < 0.820478.
639,9,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.035102769400913836,0.001,Stay because the candidate fails the incumbent floor check: 0.802827 + 0.001000 < 0.824924.
703,10,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.028749638758704288,0.001,Stay because the candidate fails the incumbent floor check: 0.808701 + 0.001000 < 0.825622.
767,11,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.033371476908131026,0.001,Stay because the candidate fails the incumbent floor check: 0.811034 + 0.001000 < 0.823886.
831,12,knn_regressor,lin_lr_0_005,stay,False,recent_leader_incumbent_floor,0.04508114503211069,0.001,Stay because the candidate fails the incumbent floor check: 0.820279 + 0.001000 < 0.823104.
